"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"21584","Ftsj1","117","146","87","224"
"21585","Slc38a5","0","0","0","0"
"21586","Ssxb10","0","0","0","0"
"21587","Ssxb9","0","0","0","0"
"21588","Ssxb1","0","0","0","0"
"21589","Ssxb2","8","3","0","2"
"21590","Gm14459","0","0","0","0"
"21591","Ssxb6","0","0","0","0"
"21592","Ssxb3","0","0","0","0"
"21593","Ssxb8","0","0","0","0"
"21594","Ssx9","0","0","0","0"
"21595","Ssxb5","0","0","2","0"
"21596","Gm6592","1","3","3","0"
"21597","B630019K06Rik","180","228","159","181"
"21598","Gm5634","0","0","0","0"
"21599","Gm14511","0","0","0","0"
"21600","Gm14458","0","0","0","0"
"21601","Fthl17","0","0","0","0"
"21602","Gm5635","0","0","0","0"
"21603","Lancl3","8","7","0","0"
"21604","Xk","82","52","46","86"
"21605","1700012L04Rik","0","0","0","0"
"21606","Gm14501","0","0","0","0"
"21607","Cybb","35758","43415","29689","61960"
"21608","Gm5132","0","0","0","0"
"21609","Dynlt3","521","654","402","711"
"21610","1700054O13Rik","0","0","0","0"
"21611","4930557A04Rik","0","0","0","0"
"21612","Sytl5","0","0","0","0"
"21613","Srpx","0","0","0","4"
"21614","Rpgr","53","101","73","58"
"21615","Otc","9","0","0","0"
"21616","Tspan7","68","34","126","90"
"21617","Mid1ip1","426","599","479","836"
"21618","Gm14483","0","0","0","0"
"21619","Gm14483","0","0","0","0"
"21620","Gm14484","0","0","0","0"
"21621","Gm4906","0","0","0","0"
"21622","Bcor","1772","2260","1597","3029"
"21623","Atp6ap2","2594","3714","2520","5164"
"21624","Gm4984","4","0","12","7"
"21625","1810030O07Rik","758","837","495","932"
"21626","Med14","997","1205","777","1431"
"21627","5730405O15Rik","4","11","0","11"
"21628","Usp9x","4075","4770","3160","6361"
"21629","Ddx3x","8187","9404","6455","14111"
"21630","Nyx","7","11","3","15"
"21631","Cask","611","614","432","1058"
"21632","Gpr34","707","947","527","904"
"21633","Gpr82","31","24","12","109"
"21634","Gm5382","0","0","0","0"
"21635","4930403L05Rik","0","0","0","0"
"21636","Cypt1","0","0","0","0"
"21637","Cypt8","0","0","0","0"
"21638","Cypt7","0","0","0","0"
"21639","Maoa","318","346","181","531"
"21640","Maob","0","1","21","0"
"21641","Ndp","0","0","0","10"
"21642","Efhc2","0","0","0","0"
"21643","Fundc1","486","626","495","931"
"21644","Dusp21","0","0","0","0"
"21645","Kdm6a","1492","2004","1257","2864"
"21646","4930578C19Rik","0","0","0","0"
"21647","Mir221","0","0","0","0"
