"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033721.16","Vav3",0,7,14,7,0,16,0.160212314514619,5.54254788713205,0.559661863998575,1
"ENSMUSG00000033722.9","BC034090",14,10,0,21,24,0,1.48532262411027,0.291597589823259,0.559694915823824,1
"ENSMUSG00000033728.14","Lrrc14",63.999,128,36,306,479,113,1.55563646733875,0.632729597607876,0.559714795185165,1
"ENSMUSG00000033730.4","Egr3",695,1218,906,4592,9341,2686,-1.86473772075819,-0.905700768019387,0.559910845596996,1
"ENSMUSG00000033732.10","Sf3b3",326,371,260,697.999,1709,495,-0.268450275662405,4.20068678294958,0.559914807208456,1
"ENSMUSG00000033735.9","Spr",31,67,33,131,327,86,-0.250457355623549,4.27827147856139,0.559928554304116,1
"ENSMUSG00000033739.8","Fkbpl",5,6,0,55,57,33,0.277539874201727,4.33190662299439,0.560036193961591,1
"ENSMUSG00000033740.17","St18",11,2,7,0,0,17,-1.30954651460508,1.17875236896356,0.560092814054809,1
"ENSMUSG00000033751.5","Gadd45gip1",40,376,232,657,1207,277,0.233008397167119,4.42689174395789,0.560195997599853,1
"ENSMUSG00000033760.17","Rbm4b",158.337,129.04,84.198,312.995,792.027,159.123,-0.84397952656423,2.28189560061897,0.560228589281063,1
"ENSMUSG00000033762.8","Recql4",1,19,13,42,16,17,0.171214946921374,5.70537233496167,0.560234948795911,1
"ENSMUSG00000033763.14","Mtss2",21,25,0,34,13,11,-0.218038759345866,4.42874953618393,0.560249014025018,1
"ENSMUSG00000033767.14","Tmem131l",125,272,205.001,692,1293,289.001,-0.216580526744706,4.57371930439651,0.56028830398891,1
"ENSMUSG00000033768.17","Nrxn2",31,6,0,4,19,5,-0.133217831712191,8.32849139724203,0.560295419147719,1
"ENSMUSG00000033769.16","Exoc6b",120,160,113.999,313,775,171,-1.19448533683598,0.967073667116261,0.560396724485862,1
"ENSMUSG00000033773.14","Rpap2",60,71,72,126,225,42,1.55758981235422,0.175689599313076,0.560551934300564,1
"ENSMUSG00000033774.4","Npbwr1",0,1,4,14,0,0,-0.168138454866744,5.62475489574794,0.560614464934903,1
"ENSMUSG00000033777.4","Tlr13",573,926,526,1978,4935,960,-0.510246111170075,3.02311537869778,0.560636612058075,1
"ENSMUSG00000033781.7","Asb13",137,103,64.001,201,563,116,-1.7125012427875,-0.696114601044794,0.560654613901689,1
"ENSMUSG00000033790.11","Tubgcp5",631,544.999,265,1577,2638.001,628,1.60819856982518,0.0905443826185666,0.560690441138403,1
"ENSMUSG00000033792.12","Atp7a",127.001,243,96,451,1367,304,-0.226127679599649,7.12009291373125,0.5608766460988,1
"ENSMUSG00000033793.12","Atp6v1h",109,135.999,119,297,665,201,-0.132726424534713,8.01748935178304,0.560925686461654,1
"ENSMUSG00000033794.6","Lpcat2b",2,3,7,0,0,0,-0.153807151848183,6.1306291936378,0.560938733837237,1
"ENSMUSG00000033799.10","Tasor2",136,392,163,970.999,1646.999,347.999,-0.145072447122367,6.26929750790998,0.561000442917058,1
"ENSMUSG00000033808.16","Tmem87a",244,211,96,466,893,230,-0.502246644345567,2.73490546274417,0.561177153135157,1
"ENSMUSG00000033809.15","Alg3",29,36,11,121,127,35,-0.140554741178401,5.94002545883064,0.561218584622861,1
"ENSMUSG00000033813.15","Tcea1",191,213.973,148,429.959,816,195,-0.27836852064098,4.30868001402195,0.561222396878659,1
"ENSMUSG00000033819.16","Ppp1r16a",72,97.999,58,211,398,89,0.187819628478933,5.34329097432809,0.561256272781983,1
"ENSMUSG00000033825.10","Tpsb2",0,1,8,9,0,0,-0.458974720197211,3.02880932643645,0.561316395574638,1
"ENSMUSG00000033826.10","Dnah8",17,17,36,1,15,4,0.134261230940013,6.53008962067525,0.561318614195024,1
"ENSMUSG00000033831.5","Fgb",0,2,0,10,0,10,0.162861246081837,5.83833194698039,0.561387607444857,1
"ENSMUSG00000033834.7","Tpbpa",0,1,6,0,0,5,-0.229765218011183,4.54966541045922,0.561460456742824,1
"ENSMUSG00000033845.13","Mrpl15",45,51,41,131,231,64,0.148680849436298,6.31766289311953,0.561469897138662,1
"ENSMUSG00000033847.15","Pla2g4c",0,1,0,0,9,7,0.162262504567927,8.60335247534815,0.561491308503667,1
"ENSMUSG00000033849.3","B3galt2",10,9,0,19,30,20,-0.178194147449646,5.38091685940061,0.561527362214446,1
"ENSMUSG00000033852.16","Gm28042",24.25,0,7,74.646,0,32.696,-0.239561483470887,5.39943740310589,0.561751836870998,1
"ENSMUSG00000033854.10","Kcnk10",9,4,9,6,0,16,-1.79743357768524,-0.352143858741255,0.561755140229361,1
"ENSMUSG00000033855.15","Ston1",9,17,1,145.999,77,23,-0.175249953805341,5.25173798772858,0.561812320193674,1
"ENSMUSG00000033857.12","Engase",155.999,221.999,181.001,773.001,1159,318.001,0.228902260910927,4.65760636586305,0.561893492481043,1
"ENSMUSG00000033860.13","Fgg",0,2,8,0,0,0,1.44567523701892,-0.774784824223692,0.561901138851372,1
"ENSMUSG00000033862.7","Cdk10",146,129.001,46,524.764,760.949,231.407,0.132614911232889,6.42677788564171,0.561935527813407,1
"ENSMUSG00000033863.2","Klf9",1,11,0,22,58,27,-0.132014313337494,7.57520640334198,0.561967715439704,1
"ENSMUSG00000033871.14","Ppargc1b",15,18,8,4,94,10,0.225323629971572,4.68904706964605,0.56198615495428,1
"ENSMUSG00000033880.11","Lgals3bp",371,596,308,1012,2207,418.001,0.320650986733896,3.56673313072735,0.562074406866141,1
"ENSMUSG00000033883.11","Zfp267",46,38,10,117,188,69,0.633804012675092,2.51028293419481,0.562088116632718,1
"ENSMUSG00000033885.15","Pxk",90,253.999,153,488,1123,237.001,0.761941230651607,2.12398068019759,0.562108982364407,1
"ENSMUSG00000033898.17","Cfhr2",0,6.142,16.168,22.088,44.459,0,-0.13079491998314,7.54908838600871,0.562142863644885,1
