"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000018379.17","Srsf1",151,271.001,102,186,432,904,0.530038882685019,5.05604284088546,0.164195067766126,1
"ENSMUSG00000018381.15","Abi3",1267,1279,717,1349.999,2472.001,6554,0.596549141259255,4.77834534345289,0.164233856771791,1
"ENSMUSG00000018387.12","Shroom1",53,13,28,50,55,155,0.455040569883784,5.80535066943019,0.164315181676121,1
"ENSMUSG00000018395.19","Kif3a",34,41,9,56,89,89,0.427886815385169,9.54403033020823,0.164327752786804,1
"ENSMUSG00000018398.18","Septin8",117,161.999,98,124.999,225,580.999,4.01620673150765,0.610975604613169,0.164351956274008,1
"ENSMUSG00000018401.17","Mtmr4",199,334,158,228,508,1491,2.9465087245721,1.43071996198345,0.164379707704485,1
"ENSMUSG00000018405.7","Mrm1",26,74,15,42,117,163,5.75496086772041,0.00356213509185334,0.164386452286401,1
"ENSMUSG00000018411.17","Mapt",20,17,22,6,49,12,0.434043888225387,5.80281756671356,0.164511589113428,1
"ENSMUSG00000018412.16","Kansl1",458,722,367.001,615,1076.35,3230.242,-0.90495129506185,3.44997489730597,0.164522338748784,1
"ENSMUSG00000018415.14","Gid4",70,121,60,53,169,305,0.575191607376809,4.67925496404456,0.164597091623472,1
"ENSMUSG00000018417.14","Myo1b",230,333,119,230,463,1298.999,-0.495124271751398,5.18331505746445,0.164792348813536,1
"ENSMUSG00000018425.18","Dhx40",76,430,184,184,197,1251,-0.617909388906374,6.41521746180586,0.164924166320476,1
"ENSMUSG00000018427.8","Ypel2",60,68,52,83,109,292,5.37342820466052,-0.0166199600457248,0.164931232572362,1
"ENSMUSG00000018428.15","Akap1",29,64,33,62,121,258,3.85922545294342,1.16213040982335,0.165091416254101,1
"ENSMUSG00000018433.14","Nol11",68,91.001,63,44,192,449,0.631035523663778,4.58695135213245,0.165126997168572,1
"ENSMUSG00000018442.13","Derl2",153,151,124,175,286,590,0.432053945449762,6.31472875499514,0.165141053476526,1
"ENSMUSG00000018446.8","C1qbp",89.999,78,61,105,166,325,5.60383429755971,-0.0634356552107139,0.165320116286829,1
"ENSMUSG00000018449.12","Rpain",91.001,97,27,79,105.999,275,-1.11729417526123,3.26666135080874,0.165556483587665,1
"ENSMUSG00000018459.15","Slc13a3",22,62,46,41,191.999,429,0.423208494848356,5.63341423557361,0.165556992904981,1
"ENSMUSG00000018470.8","Kcnab3",12,7,0,4,23,20,0.485251677984902,5.31216090506203,0.165648562394988,1
"ENSMUSG00000018474.18","Chd3",228,280.001,199,246.001,426.999,1450,-2.21014275206572,1.74980589081328,0.165649055862544,1
